alert,title,snippet,date_published,url
mufti -mehbooba,Saudi Arabia Appoints Kingdom's New Grand <b>Mufti</b> - Kashmir Observer,"Dubai~ Saudi Arabia appointed a prominent ultraconservative scholar late Wednesday as the country's new grand mufti, the kingdom's top religious ...",2025-10-23,https://kashmirobserver.net/2025/10/23/saudi-arabia-appoints-kingdoms-new-grand-mufti/
mufti -mehbooba,Saudi Arabia appoints new grand <b>mufti</b> - Jagonews24,Saudi Arabia has appointed prominent ultraconservative scholar Sheikh Saleh bin Fawzan al-Fawzan as the kingdom's new grand mufti — the...,2025-10-23,https://www.jagonews24.com/en/international/news/86593
mufti -mehbooba,Saudi Arabia Appoints Sheikh Saleh Al-Fawzan as Grand <b>Mufti</b> an... - Jordan News,"The King of Saudi Arabia, Salman bin Abdulaziz, issued an order appointing Sheikh Saleh Al-Fawzan as the Grand Mufti of Saudi Arabia, President of ...",2025-10-23,https://www.jordannews.jo/Section-20/Middle-East/Saudi-Arabia-Appoints-Sheikh-Saleh-Al-Fawzan-as-Grand-Mufti-and-Head-of-Council-of-Senior-Scholars-45917
mufti -mehbooba,Saudi Arabia appoints Sheikh Saleh bin Fawzan al-Fawzan as kingdom's new grand <b>mufti</b>,"Saudi Arabia appointed a prominent ultraconservative scholar late Wednesday as the country's new grand mufti, the kingdom's top religious scholar.",2025-10-23,https://www.washingtontimes.com/news/2025/oct/23/sheikh-saleh-bin-fawzan-al-fawzan-appointed-saudi-arabias-new-grand/
mufti -mehbooba,Saudi Arabia appoints Sheikh Saleh Bin Fawzan as kingdom's new grand <b>mufti</b> - Gulf Today,"Saudi Arabia appointed a prominent scholar late on Wednesday as the country's new grand mufti, the kingdom's top religious scholar. ...",2025-10-23,https://www.gulftoday.ae/news/2025/10/23/saudi-arabia-appoints-sheikh-saleh-bin-fawzan-as-kingdoms-new-grand-muftisaudi-grand-mufti
mufti -mehbooba,Saudi Arabia Names Sheikh Saleh bin Fawzan Al-Fawzan as New Grand <b>Mufti</b> - Bold News,Saudi Arabia has appointed prominent ultraconservative scholar Sheikh Saleh bin Fawzan Al-Fawzan as the kingdom's new Grand Mufti.,2025-10-23,https://boldnewsonline.com/saudi-arabia-names-sheikh-saleh-bin-fawzan-al-fawzan-as-new-grand-mufti/
mufti -mehbooba,"Saudi Arabia's New Grand <b>Mufti</b> Is 90, And His Views Are Stirring Debate - NDTV",Sheikh Saleh bin Fawzan bin Abdullah Al-Fawzan was named the grand mufti of Saudi Arabia by royal decree. Advertisement.,2025-10-23,https://www.ndtv.com/world-news/saudi-arabias-new-grand-mufti-is-90-and-his-views-are-stirring-debate-9504580
mufti -mehbooba,Saudi Arabia's New Grand <b>Mufti</b> Named,"IQNA – A conservative cleric in his nineties has been appointed as the top religious leader in Saudi Arabia, state media said.",2025-10-23,https://iqna.ir/en/news/3495122/saudi-arabia%E2%80%99s-new-grand-mufti-named
mufti -mehbooba,Saudi names conservative grand <b>mufti</b> despite sweeping social change - AL-Monitor,"Sheikh Saleh bin Fawzan bin Abdullah Al-Fawzan was named the grand mufti of Saudi Arabia by royal decree, the official SPA news agency reported late ...",2025-10-23,https://www.al-monitor.com/originals/2025/10/saudi-names-conservative-grand-mufti-despite-sweeping-social-change
mufti -mehbooba,Sheikh Saleh Al Fawzan appointed as new Grand <b>Mufti</b> of Saudi Arabia - Aaj English TV,Saudi Arabia's King Salman bin Abdulaziz has appointed Sheikh Dr Saleh bin Fawzan bin Abdullah Al Fawzan as the kingdom's new Grand Mufti. The ...,2025-10-23,https://english.aaj.tv/news/330440872/sheikh-saleh-al-fawzan-appointed-as-new-grand-mufti-of-saudi-arabia
